Feature Name,Studies,Count,Percentage
question body,S118,1,14.3
question code snippet,"S100, S102, S104, S111, S75",5,71.4
question text,"S102, S104",2,28.6
question title,"S100, S102, S104, S118, S75, S95",6,85.7
title revision,S118,1,14.3
