metric name,frequency
multiclass classification,1
multilayer cnn,1
multiple additive regression trees,1
multiple linear regression,1
multiple regression,1
n-gram features,1
naive bayes (nb),1
naive bayes classifier,1
named entity recognition (ner),1
network embedding (snippet2vec),1
neural networks,1
"neural networks (gru, dense layers)",1
neural topic generator,1
nonparametric statistical tests,1
obsolescence reason classification,1
open-discussion evaluation,1
open-ended questions,1
outdated clone analysis,1
par2vec encoding,1
part-of-speech tagging,1
pattern recognition,1
pivoted attention mechanism,1
plbart,1
pmd for code reliability,1
point process model,1
politeness scoring,1
popularity analysis,1
pos tag diversity,1
post-tag co-clustering,1
post2vec baseline comparison,1
pre-processing (html tag removal),1
pre-training on code corpus,1
prediction modeling,1
"preprocessing (tokenization, stopword removal)",1
prompter tool,1
psycholinguistic analysis,1
qualitative analysis of snippets,1
qualitative assessment,1
qualitative coding,1
qualitative content analysis,1
quantitative analysis (self-explanatory rating),1
quantitative analysis (using findbugs),1
question-tag embeddings,1
question-type classification,1
quick fix suggestions,1
random forests (rf),1
random under-sampling,1
random undersampling,1
rankboost,1
ranking algorithm (pagerank),1
ranknet,1
ranksvm,1
rbf svm,1
readability analysis,1
readability metrics,1
recurrent neural networks (rnn),1
redundancy analysis,1
relational classifier,1
relational topic modeling (rtm),1
relevance features (bm25),1
relevance matching,1
ridge,1
rnn,1
rnn encoder-decoder model,1
rnn-based approach,1
rouge-lcs recall,1
rule-based detection technique,1
rule-based model,1
seed task extraction,1
self-interaction network,1
semantic analysis,1
semantic matching,1
semantic similarity analysis,1
semantic-aware vector representation,1
sentence alignment,1
sentence pair matching,1
sentence pattern recognition,1
sentencepiece tokenizer,1
"sentiment analysis (e.g., sentistrength)",1
sentiment evaluation,1
sequence encoder,1
sequence encoding,1
shah,1
siamese bilstm,1
siamese neural network,1
sigmoid cross-entropy loss,1
similarity matching,1
similarity-based ranking component,1
simple logistic regression,1
skip-gram embedding,1
slicing techniques,1
smote (oversampling),1
smote balancing,1
snippet sampling,1
sobert,1
soft align attention,1
softmax function,1
softmax layer,1
spatial-temporal bi-lstm,1
static analysis,1
static code analysis (cppcheck),1
"statistical analysis (e.g., regression)",1
statistical correlation,1
stochastic gradient boosted trees,1
stochastic gradient boosting,1
stop-word removal,1
stratified random sampling,1
stratified sampling,1
subsequence mining,1
supervised recommendation system,1
supervised topic modeling,1
support vector machine (svm),1
support vector machine for ranking,1
support vector machines,1
survival analysis,1
svm classifier,1
svmrank,1
synonym creation strategies,1
syntaxnet analysis,1
tag filtering,1
tag normalization,1
tag-content relevance,1
tag-lda,1
tag-term affinity scoring,1
temporal trend analysis,1
term extraction,1
term extraction using antlr4,1
term frequency (tf),1
