Country,Count
China,34
USA,30
Canada,23
Australia,18
Singapore,17
India,13
UK,7
Iran,5
Italy,5
Netherlands,5
Brazil,4
Germany,3
New Zealand,3
Bangladesh,2
Hungary,2
Pakistan,2
Austria,1
Chile,1
Czech Republic,1
Denmark,1
Indonesia,1
Japan,1
Jordan,1
Norway,1
Portugal,1
Saudia Arabia,1
South Korea,1
Spain,1
Sri Lanka,1
Switzerland,1
Thailand,1
