Author Name,Gender,Count
Liang Cai,Male,1
Liang Zhao,Male,1
Lin Li,Male,1
Lin Xiao,Male,1
Lingwei Chen,Male,1
Liqiang Nie,Male,1
Liutong Xu,Male,1
Lixin Su,Male,1
Luca Maria Aiello,Male,1
Luca Ponzanelli,Male,1
László Tóth,Male,1
László Vidács,Male,1
Maarten Duijn,Male,1
Maciek Bielski,Male,1
Mahmood Neshati,Male,1
Marco Cristo,Male,1
Mark Sanderson,Male,1
Marko Schnecke,Male,1
Martin P Robillard,Male,1
Martin Pinzger,Male,1
Matheus Paixao,Male,1
Mathias Ellmann,Male,1
Md Nahidul Islam Opu,Male,1
Meng Wang,Male,1
Mengsu Chen,Male,1
Michal Borkowski,Male,1
Michal Labedz,Male,1
Michele Lanza,Male,1
Ming Li,Male,1
Mingwei Liu,Male,1
Mingxuan Xia,Male,1
Mohamad Yazdaninia,Male,1
Mohammad Abdallah Ali Alryalat,Male,1
Mohammad Ghafari,Male,1
Morteza Verdi,Male,1
Muhammad Ahasanuzzaman,Male,1
Muhammad Attique Khan,Male,1
Mung Chiang,Male,1
Muzamil Ahmed,Male,1
Naresh Kumar Nagwani,Male,1
Ning Gu,Male,1
Nripendra P Rana,Male,1
Osayande P Omondiagbe,Male,1
P Krishna Reddy,Male,1
Pasquale Lops,Male,1
Patrick Hansen,Male,1
Pavel Calado,Male,1
Peng Zhang,Male,1
Pengyu Xu,Male,1
Piero Molino,Male,1
Ponnurangam Kumaraguru,Male,1
Qi Xiong,Male,1
Qi Yu,Male,1
Qiao Huang,Male,1
Qing Mi,Male,1
Qirong Bu,Male,1
Quinten Stokkink,Male,1
Richard Junior Bustamante,Male,1
Ripon K Saha,Male,1
Rishabh Gupta,Male,1
Rocco Oliveto,Male,1
Rong Chen,Male,1
Sebastian Baltes,Male,1
Seifedine Kadry,Male,1
Selman Ercan,Male,1
Shengqu Xi,Male,1
Shifu Hou,Male,1
Shikai Guo,Male,1
Shing-Chi Cheung,Male,1
Shouhuai Xu,Male,1
Shuheng Wu,Male,1
Solomon Mensah,Male,1
Song Yu,Male,1
Stephen G MacDonell,Male,1
Suborno Deb Bappon,Male,1
Sudhakar Pandey,Male,1
Suman Maity,Male,1
Tao Xie,Male,1
Tat-Seng Chua,Male,1
Tibor Gyimóthy,Male,1
Tsung-Yen Yang,Male,1
Tun Lu,Male,1
Udit Arora,Male,1
Usman Tariq,Male,1
Valerio Terragni,Male,1
Vladimir Filkov,Male,1
Wang Zou,Male,1
Weipeng Jing,Male,1
Weishi Shi,Male,1
Wenhao Zheng,Male,1
Wenjie Ruan,Male,1
Wenlong Li,Male,1
Xi Chen,Male,1
Xiangqiang Guo,Male,1
Xiaofei Xie,Male,1
Xin Li,Male,1
